movie_link,movie_link-href,movie_title,Duration,metacritic_movie_ranking_Awards,MetaScore_link,MetaScore_link-href,Number_of_critic_review,MetaScore,critic_review_positive,metacritic_review_mixed,metacritc_review_Negetive,User_review_link,User_review_link-href,user_ratings,metacrtic_user_Score,metaCrtic_user_review_positive,metacritic_user_review_mixed,metacritic_user_review_Negetive
Blackfish,http://www.metacritic.com/movie/blackfish,Blackfish,83 min,#24 Best Movie of 2013,METASCORE,http://www.metacritic.com/movie/blackfish/critic-reviews,based on 33 Critics,83,33,0,0,User Reviews,http://www.metacritic.com/movie/blackfish/user-reviews,based on 113 Ratings,8.4,104,null,4
The Wolfpack,http://www.metacritic.com/movie/the-wolfpack,The Wolfpack,90 min,null,METASCORE,http://www.metacritic.com/movie/the-wolfpack/critic-reviews,based on 29 Critics,75,23,6,0,User Reviews,http://www.metacritic.com/movie/the-wolfpack/user-reviews,based on 17 Ratings,6.9,13,null,2
Whose Streets?,http://www.metacritic.com/movie/whose-streets,Whose Streets?,90 min,#45 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/whose-streets/critic-reviews,based on 9 Critics,80,9,0,0,User Reviews,http://www.metacritic.com/movie/whose-streets/user-reviews,null,tbd,null,null,null
David Lynch: The Art Life,http://www.metacritic.com/movie/david-lynch-the-art-life,David Lynch: The Art Life,88 min,#85 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/david-lynch-the-art-life/critic-reviews,based on 17 Critics,75,16,1,0,User Reviews,http://www.metacritic.com/movie/david-lynch-the-art-life/user-reviews,null,tbd,3,0,0
David Lynch: The Art Life,http://www.metacritic.com/movie/david-lynch-the-art-life,David Lynch: The Art Life,88 min,#85 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/david-lynch-the-art-life/critic-reviews,based on 17 Critics,75,16,1,0,User Reviews,http://www.metacritic.com/movie/david-lynch-the-art-life/user-reviews,null,tbd,3,0,0
Cartel Land,http://www.metacritic.com/movie/cartel-land,Cartel Land,100 min,null,METASCORE,http://www.metacritic.com/movie/cartel-land/critic-reviews,based on 27 Critics,76,24,3,0,User Reviews,http://www.metacritic.com/movie/cartel-land/user-reviews,based on 36 Ratings,7.9,31,0,0
Long Strange Trip,http://www.metacritic.com/movie/long-strange-trip,Long Strange Trip,238 min,#51 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/long-strange-trip/critic-reviews,based on 13 Critics,78,12,1,0,User Reviews,http://www.metacritic.com/movie/long-strange-trip/user-reviews,null,tbd,null,null,null
Searching for Sugar Man,http://www.metacritic.com/movie/searching-for-sugar-man,Searching for Sugar Man,86 min,#49 Best Movie of 2012,METASCORE,http://www.metacritic.com/movie/searching-for-sugar-man/critic-reviews,based on 32 Critics,79,28,4,0,User Reviews,http://www.metacritic.com/movie/searching-for-sugar-man/user-reviews,based on 71 Ratings,8.3,63,null,3
I Called Him Morgan,http://www.metacritic.com/movie/i-called-him-morgan,I Called Him Morgan,92 min,#5 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/i-called-him-morgan/critic-reviews,based on 20 Critics,90,20,0,0,User Reviews,http://www.metacritic.com/movie/i-called-him-morgan/user-reviews,null,tbd,2,0,0
I Called Him Morgan,http://www.metacritic.com/movie/i-called-him-morgan,I Called Him Morgan,92 min,#5 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/i-called-him-morgan/critic-reviews,based on 20 Critics,90,20,0,0,User Reviews,http://www.metacritic.com/movie/i-called-him-morgan/user-reviews,null,tbd,2,0,0
The Beatles: Eight Days a Week - The Touring Years,http://www.metacritic.com/movie/the-beatles-eight-days-a-week---the-touring-years,The Beatles: Eight Days a Week - The Touring Years,137 min,null,METASCORE,http://www.metacritic.com/movie/the-beatles-eight-days-a-week---the-touring-years/critic-reviews,based on 22 Critics,72,18,4,0,User Reviews,http://www.metacritic.com/movie/the-beatles-eight-days-a-week---the-touring-years/user-reviews,based on 20 Ratings,8.5,19,0,0
Whose Streets?,http://www.metacritic.com/movie/whose-streets,Whose Streets?,90 min,#45 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/whose-streets/critic-reviews,based on 9 Critics,80,9,0,0,User Reviews,http://www.metacritic.com/movie/whose-streets/user-reviews,null,tbd,null,null,null
The Salt of the Earth,http://www.metacritic.com/movie/the-salt-of-the-earth,The Salt of the Earth,110 min,#33 Best Movie of 2015,METASCORE,http://www.metacritic.com/movie/the-salt-of-the-earth/critic-reviews,based on 29 Critics,83,27,2,0,User Reviews,http://www.metacritic.com/movie/the-salt-of-the-earth/user-reviews,based on 29 Ratings,8.4,26,null,1
Amy,http://www.metacritic.com/movie/amy-2015,Amy,128 min,#26 Best Movie of 2015,METASCORE,http://www.metacritic.com/movie/amy-2015/critic-reviews,based on 41 Critics,85,40,1,0,User Reviews,http://www.metacritic.com/movie/amy-2015/user-reviews,based on 153 Ratings,8.3,132,null,7
Searching for Sugar Man,http://www.metacritic.com/movie/searching-for-sugar-man,Searching for Sugar Man,86 min,#49 Best Movie of 2012,METASCORE,http://www.metacritic.com/movie/searching-for-sugar-man/critic-reviews,based on 32 Critics,79,28,4,0,User Reviews,http://www.metacritic.com/movie/searching-for-sugar-man/user-reviews,based on 71 Ratings,8.3,63,null,3
One Direction: This Is Us,http://www.metacritic.com/movie/one-direction-this-is-us,One Direction: This Is Us,92 min,null,METASCORE,http://www.metacritic.com/movie/one-direction-this-is-us/critic-reviews,based on 27 Critics,49,5,19,null,User Reviews,http://www.metacritic.com/movie/one-direction-this-is-us/user-reviews,based on 144 Ratings,2.5,31,null,103
Zero Days,http://www.metacritic.com/movie/zero-days,Zero Days,116 min,#86 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/zero-days/critic-reviews,based on 23 Critics,77,20,3,0,User Reviews,http://www.metacritic.com/movie/zero-days/user-reviews,based on 29 Ratings,7.4,20,null,3
Blackfish,http://www.metacritic.com/movie/blackfish,Blackfish,83 min,#24 Best Movie of 2013,METASCORE,http://www.metacritic.com/movie/blackfish/critic-reviews,based on 33 Critics,83,33,0,0,User Reviews,http://www.metacritic.com/movie/blackfish/user-reviews,based on 113 Ratings,8.4,104,null,4
Where to Invade Next,http://www.metacritic.com/movie/where-to-invade-next,Where to Invade Next,120 min,null,METASCORE,http://www.metacritic.com/movie/where-to-invade-next/critic-reviews,based on 38 Critics,64,25,11,null,User Reviews,http://www.metacritic.com/movie/where-to-invade-next/user-reviews,based on 48 Ratings,7.2,36,null,8
I Called Him Morgan,http://www.metacritic.com/movie/i-called-him-morgan,I Called Him Morgan,92 min,#5 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/i-called-him-morgan/critic-reviews,based on 20 Critics,90,20,0,0,User Reviews,http://www.metacritic.com/movie/i-called-him-morgan/user-reviews,null,tbd,2,0,0
I Called Him Morgan,http://www.metacritic.com/movie/i-called-him-morgan,I Called Him Morgan,92 min,#5 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/i-called-him-morgan/critic-reviews,based on 20 Critics,90,20,0,0,User Reviews,http://www.metacritic.com/movie/i-called-him-morgan/user-reviews,null,tbd,2,0,0
The Wolfpack,http://www.metacritic.com/movie/the-wolfpack,The Wolfpack,90 min,null,METASCORE,http://www.metacritic.com/movie/the-wolfpack/critic-reviews,based on 29 Critics,75,23,6,0,User Reviews,http://www.metacritic.com/movie/the-wolfpack/user-reviews,based on 17 Ratings,6.9,13,null,2
Long Strange Trip,http://www.metacritic.com/movie/long-strange-trip,Long Strange Trip,238 min,#51 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/long-strange-trip/critic-reviews,based on 13 Critics,78,12,1,0,User Reviews,http://www.metacritic.com/movie/long-strange-trip/user-reviews,null,tbd,null,null,null
The Beatles: Eight Days a Week - The Touring Years,http://www.metacritic.com/movie/the-beatles-eight-days-a-week---the-touring-years,The Beatles: Eight Days a Week - The Touring Years,137 min,null,METASCORE,http://www.metacritic.com/movie/the-beatles-eight-days-a-week---the-touring-years/critic-reviews,based on 22 Critics,72,18,4,0,User Reviews,http://www.metacritic.com/movie/the-beatles-eight-days-a-week---the-touring-years/user-reviews,based on 20 Ratings,8.5,19,0,0
Zero Days,http://www.metacritic.com/movie/zero-days,Zero Days,116 min,#86 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/zero-days/critic-reviews,based on 23 Critics,77,20,3,0,User Reviews,http://www.metacritic.com/movie/zero-days/user-reviews,based on 29 Ratings,7.4,20,null,3
Cartel Land,http://www.metacritic.com/movie/cartel-land,Cartel Land,100 min,null,METASCORE,http://www.metacritic.com/movie/cartel-land/critic-reviews,based on 27 Critics,76,24,3,0,User Reviews,http://www.metacritic.com/movie/cartel-land/user-reviews,based on 36 Ratings,7.9,31,0,0
Where to Invade Next,http://www.metacritic.com/movie/where-to-invade-next,Where to Invade Next,120 min,null,METASCORE,http://www.metacritic.com/movie/where-to-invade-next/critic-reviews,based on 38 Critics,64,25,11,null,User Reviews,http://www.metacritic.com/movie/where-to-invade-next/user-reviews,based on 48 Ratings,7.2,36,null,8
Risk,http://www.metacritic.com/movie/risk,Risk,92 min,null,METASCORE,http://www.metacritic.com/movie/risk/critic-reviews,based on 26 Critics,73,22,3,null,User Reviews,http://www.metacritic.com/movie/risk/user-reviews,based on 4 Ratings,7.3,3,0,0
Risk,http://www.metacritic.com/movie/risk,Risk,92 min,null,METASCORE,http://www.metacritic.com/movie/risk/critic-reviews,based on 26 Critics,73,22,3,null,User Reviews,http://www.metacritic.com/movie/risk/user-reviews,based on 4 Ratings,7.3,3,0,0
The Salt of the Earth,http://www.metacritic.com/movie/the-salt-of-the-earth,The Salt of the Earth,110 min,#33 Best Movie of 2015,METASCORE,http://www.metacritic.com/movie/the-salt-of-the-earth/critic-reviews,based on 29 Critics,83,27,2,0,User Reviews,http://www.metacritic.com/movie/the-salt-of-the-earth/user-reviews,based on 29 Ratings,8.4,26,null,1
It's Not Yet Dark,http://www.metacritic.com/movie/its-not-yet-dark,It's Not Yet Dark,81 min,#82 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/its-not-yet-dark/critic-reviews,based on 8 Critics,75,8,0,0,User Reviews,http://www.metacritic.com/movie/its-not-yet-dark/user-reviews,null,tbd,1,0,0
The Hornet's Nest,http://www.metacritic.com/movie/the-hornets-nest,The Hornet's Nest,93 min,null,METASCORE,http://www.metacritic.com/movie/the-hornets-nest/critic-reviews,based on 7 Critics,61,5,1,null,User Reviews,http://www.metacritic.com/movie/the-hornets-nest/user-reviews,null,tbd,1,0,0
Room 237,http://www.metacritic.com/movie/room-237,Room 237,102 min,#48 Best Movie of 2013,METASCORE,http://www.metacritic.com/movie/room-237/critic-reviews,based on 30 Critics,80,26,3,null,User Reviews,http://www.metacritic.com/movie/room-237/user-reviews,based on 85 Ratings,6.1,45,null,17
Shepard & Dark,http://www.metacritic.com/movie/shepard-dark,Shepard & Dark,92 min,null,METASCORE,http://www.metacritic.com/movie/shepard-dark/critic-reviews,based on 10 Critics,66,8,2,0,User Reviews,http://www.metacritic.com/movie/shepard-dark/user-reviews,null,tbd,null,null,null
Soaked in Bleach,http://www.metacritic.com/movie/soaked-in-bleach,Soaked in Bleach,100 min,null,METASCORE,http://www.metacritic.com/movie/soaked-in-bleach/critic-reviews,based on 7 Critics,50,2,4,null,User Reviews,http://www.metacritic.com/movie/soaked-in-bleach/user-reviews,based on 30 Ratings,8.4,26,0,4
Betting on Zero,http://www.metacritic.com/movie/betting-on-zero,Betting on Zero,99 min,null,METASCORE,http://www.metacritic.com/movie/betting-on-zero/critic-reviews,based on 9 Critics,72,9,0,0,User Reviews,http://www.metacritic.com/movie/betting-on-zero/user-reviews,null,tbd,2,0,0
Betting on Zero,http://www.metacritic.com/movie/betting-on-zero,Betting on Zero,99 min,null,METASCORE,http://www.metacritic.com/movie/betting-on-zero/critic-reviews,based on 9 Critics,72,9,0,0,User Reviews,http://www.metacritic.com/movie/betting-on-zero/user-reviews,null,tbd,2,0,0
Shepard & Dark,http://www.metacritic.com/movie/shepard-dark,Shepard & Dark,92 min,null,METASCORE,http://www.metacritic.com/movie/shepard-dark/critic-reviews,based on 10 Critics,66,8,2,0,User Reviews,http://www.metacritic.com/movie/shepard-dark/user-reviews,null,tbd,null,null,null
American Anarchist,http://www.metacritic.com/movie/american-anarchist,American Anarchist,80 min,null,METASCORE,http://www.metacritic.com/movie/american-anarchist/critic-reviews,based on 5 Critics,58,2,3,0,User Reviews,http://www.metacritic.com/movie/american-anarchist/user-reviews,null,tbd,null,null,null
American Anarchist,http://www.metacritic.com/movie/american-anarchist,American Anarchist,80 min,null,METASCORE,http://www.metacritic.com/movie/american-anarchist/critic-reviews,based on 5 Critics,58,2,3,0,User Reviews,http://www.metacritic.com/movie/american-anarchist/user-reviews,null,tbd,null,null,null
It's Not Yet Dark,http://www.metacritic.com/movie/its-not-yet-dark,It's Not Yet Dark,81 min,#82 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/its-not-yet-dark/critic-reviews,based on 8 Critics,75,8,0,0,User Reviews,http://www.metacritic.com/movie/its-not-yet-dark/user-reviews,null,tbd,1,0,0
Room 237,http://www.metacritic.com/movie/room-237,Room 237,102 min,#48 Best Movie of 2013,METASCORE,http://www.metacritic.com/movie/room-237/critic-reviews,based on 30 Critics,80,26,3,null,User Reviews,http://www.metacritic.com/movie/room-237/user-reviews,based on 85 Ratings,6.1,45,null,17
Under the Sun,http://www.metacritic.com/movie/under-the-sun,Under the Sun,106 min,#49 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/under-the-sun/critic-reviews,based on 14 Critics,81,13,1,0,User Reviews,http://www.metacritic.com/movie/under-the-sun/user-reviews,based on 18 Ratings,6.1,10,null,5
Betting on Zero,http://www.metacritic.com/movie/betting-on-zero,Betting on Zero,99 min,null,METASCORE,http://www.metacritic.com/movie/betting-on-zero/critic-reviews,based on 9 Critics,72,9,0,0,User Reviews,http://www.metacritic.com/movie/betting-on-zero/user-reviews,null,tbd,2,0,0
Betting on Zero,http://www.metacritic.com/movie/betting-on-zero,Betting on Zero,99 min,null,METASCORE,http://www.metacritic.com/movie/betting-on-zero/critic-reviews,based on 9 Critics,72,9,0,0,User Reviews,http://www.metacritic.com/movie/betting-on-zero/user-reviews,null,tbd,2,0,0
Tomorrow,http://www.metacritic.com/movie/tomorrow,Tomorrow,118 min,null,METASCORE,http://www.metacritic.com/movie/tomorrow/critic-reviews,based on 7 Critics,71,6,1,0,User Reviews,http://www.metacritic.com/movie/tomorrow/user-reviews,null,tbd,null,null,null
